200 1000 3656793528482.72 1.303909788372188e+18 10 6.67e-08
0.0 0.0 0.0 0.0 0.0 0.0 1.9884098706980512e+33
-5.888600578057118e+18 1.1605917014529283e+18 -4.608879798850126e+16 -53064.67318304323 23409.020009887627 -5015.706535219131 1.9884098706980512e+33
-6.692358703351185e+18 1.1624292638727951e+18 -4.788412747322341e+17 -2010.9037887354755 2526.9230701511 -25914.69237246902 1.9884098706980512e+33
9.160434409656692e+17 2.721710908770094e+18 2.2297054711213765e+18 10042.71884957206 6108.806018891504 22663.40640006322 1.9884098706980512e+33
-1.699251499547716e+18 3.988094126982782e+18 -3.165942077173309e+18 -2899.1601017180346 8281.364506319776 12486.24057268952 1.9884098706980512e+33
-4.854697157586728e+18 4.891614569109261e+18 -4.3899192834748093e+18 22812.642768958736 34063.09255709407 -339.92371441578 1.9884098706980512e+33
-5.791619486985905e+18 1.8930675254060552e+18 -7.442144670679163e+17 12650.023014689896 -12848.226174567631 -2298.796807163816 1.9884098706980512e+33
-5.805928856200959e+18 4.629300645022839e+18 -3.330216581455106e+18 11615.916484499863 5244.606105268839 7728.707327724377 1.9884098706980512e+33
2.524093774626852e+16 -4.400577758649178e+18 1.9479446556186112e+18 3402.0235677297483 31446.45470466903 5944.680981313545 1.9884098706980512e+33
-2.275704791429151e+18 3.59585997421536e+18 1.3212119576203796e+18 76.38854248657955 21896.355666809213 24067.36774105546 1.9884098706980512e+33
-4.579119280323e+18 1.4288463028069993e+18 -2.815473438289914e+18 -19788.77761316912 -7838.769184548698 8310.482296571821 1.9884098706980512e+33
-4.4746049810970644e+18 4.3570930377252166e+17 -4.3745109491855037e+18 -39283.460077666336 14692.50965352921 8609.838091221007 1.9884098706980512e+33
-1.042321375398915e+18 5.241373257594032e+18 7.053532927580488e+18 -8633.580108880145 26967.000893539232 -16367.174429921353 1.9884098706980512e+33
-3.899955484871711e+18 -1.718801036070869e+18 2.7526195895236925e+18 21180.2811092132 -27275.369170254606 17940.472249487913 1.9884098706980512e+33
8.688051321987776e+17 5.071038114660669e+18 -3.1924055206666757e+18 5862.925601444215 2560.1777673634506 -23633.47450537146 1.9884098706980512e+33
5.662542774776344e+18 -8.852727087941769e+17 3.728063133647369e+18 -11101.42285069712 -25241.108041074258 -15884.983999686308 1.9884098706980512e+33
3.964384719384078e+18 3.338530491682482e+18 4.105079344268174e+18 4499.885541086412 15546.018897783146 -15879.095098488406 1.9884098706980512e+33
-3.448472291504113e+18 4.412327305775409e+18 1.5519937342126723e+18 -27670.629789384322 -13328.824952542205 20368.194788104884 1.9884098706980512e+33
3.1054308557026324e+18 -2.2512991482090337e+18 2.21207901363713e+18 -14720.653018787907 -6899.267809619334 -3316.612410494194 1.9884098706980512e+33
-3.023769558825034e+18 7.157676904249341e+18 -5.157729906329746e+18 28008.42909648344 -19851.26120456921 2562.372084140575 1.9884098706980512e+33
5.320478335476628e+18 -3.9442856465772083e+18 -3.9578790522739553e+18 -645.9295221695716 13967.930443580697 -18520.657834538437 1.9884098706980512e+33
2.575582279027478e+17 5.146850513482126e+18 -1.626077247679685e+18 -8272.432520058968 2275.250883937206 25754.837247659965 1.9884098706980512e+33
-2.895142899813182e+18 -2.8165711491666975e+18 3.8721368831589755e+18 -3437.2427060949085 11476.859334834448 16849.934234546246 1.9884098706980512e+33
-3.38849820805208e+18 1.1419232049581774e+18 -4.2376822213857505e+18 73.85350200342424 6549.986192947318 7756.124371753809 1.9884098706980512e+33
-2.7225932286025907e+18 5.620336825915637e+18 -3.357606124801904e+18 -723.8571882518391 6408.234553425527 -21077.842686968754 1.9884098706980512e+33
-3.8647580711128187e+18 3.0609399997140157e+18 2.8901688322386746e+17 -27794.6427853778 -5315.173029810069 32884.54906282047 1.9884098706980512e+33
1.4784830549563187e+18 4.910818498082804e+18 9.731036602725548e+17 2364.7161944244604 -24739.893289099444 -3418.484214777579 1.9884098706980512e+33
3.72946464050082e+18 -1.9210512079922527e+18 5.737279596565274e+18 -20691.077463964033 -13245.242327608414 21372.79612356255 1.9884098706980512e+33
-4.84352363651796e+18 5.011108263891126e+18 -3.886028106163589e+18 1461.6238741317245 22377.56440131936 -2555.4036360487694 1.9884098706980512e+33
-4.891141277169014e+18 3.015185531948659e+18 -1.5444926984868564e+18 -12292.15960062599 32148.81399354719 6268.250933763417 1.9884098706980512e+33
3.503517119076954e+18 -1.9293723056342623e+18 3.405876548767252e+18 33083.81190228362 -17367.65663977632 29636.361320166798 1.9884098706980512e+33
-3.488114707027755e+18 5.479377944358986e+18 -4.0512610044376864e+17 27787.41918532031 -896.0277043543347 -17439.63159158287 1.9884098706980512e+33
-3.24226719932573e+18 -2.9411383301894374e+18 -8.278966040189627e+18 -14384.018848933543 -12505.334872005089 -2121.2539503515377 1.9884098706980512e+33
-7.528143689830759e+18 4.835557800307007e+18 -3.070728490801051e+18 -33608.56315256475 14353.601459600222 16019.77575624552 1.9884098706980512e+33
4.671718708001193e+18 -4.2730278639447055e+18 -1.4003016389495442e+18 -7267.375374448353 -23167.155957529558 30039.461482162107 1.9884098706980512e+33
6.0312923653538e+18 4.976549260059474e+18 -1.7653275714609485e+18 -1424.863163225197 -38005.09644248465 -9072.875033713992 1.9884098706980512e+33
9.811376940522574e+17 4.172080991923532e+17 1.600550535043714e+18 -13297.700349422037 -1186.8976236620033 42766.20766199798 1.9884098706980512e+33
-5.061254950492302e+18 3.839539467409751e+18 2.0021544763250883e+18 -12836.557717209602 -27747.194041910036 -9493.294186827847 1.9884098706980512e+33
-2.5912033698478423e+18 4.632250298154212e+18 -6.480038845314153e+18 5910.249117699279 16902.198870271113 -23112.88610709955 1.9884098706980512e+33
-4.757402302166392e+18 6.033882847821613e+18 -4.630786998863426e+18 -6630.102386271689 -6369.244917641462 -1519.2387146229596 1.9884098706980512e+33
-5.785521334658585e+18 -2.242066327426204e+18 4.2436124407509524e+18 -19451.38807877273 -4744.058515385588 -15354.802963975786 1.9884098706980512e+33
3.872499319960454e+18 1.103568451571825e+18 -1.7875109778762952e+18 -3696.3716249860995 13686.907955870154 -34015.86377069528 1.9884098706980512e+33
-3.762968148781834e+18 1.378355435227108e+18 6.564845962869796e+17 -7267.322815698268 3770.1975065868987 16902.349706606365 1.9884098706980512e+33
-3.359697998542203e+18 4.932807411004343e+18 -1.8384640934562263e+18 -17450.770614581877 4097.501739698662 5613.183264211022 1.9884098706980512e+33
5.502486544707226e+18 -2.864807788952524e+18 -2.4094252554337664e+18 10166.856404322636 39300.30735538886 27705.282805185547 1.9884098706980512e+33
-4.2071680461830323e+18 4.674769230665081e+18 4.2490372595836717e+17 24701.60383049002 2952.0270930540055 -25925.70934507014 1.9884098706980512e+33
6.283728799767831e+18 4.371148745572455e+18 4.982516489992899e+18 -32077.450594867176 5751.721751667048 -26348.49245431685 1.9884098706980512e+33
-5.227282163804847e+18 -4.713036342715417e+18 -6.57073982624729e+17 1538.1247287504195 -27254.24969345277 -47810.12273537311 1.9884098706980512e+33
-4.1101983821844193e+18 9.043080085528429e+17 5.274105258956165e+18 -13776.08576721393 -12251.380254257498 678.3965564876211 1.9884098706980512e+33
