100 1000 5171487002778.428 6.571293558136355e+18 10 6.67e-08
0.0 0.0 0.0 0.0 0.0 0.0 1.9884098706980512e+33
-3.790930601506152e+18 8.260821217483366e+17 3.3278600672255345e+18 3959.2813262325803 2605.514772950113 -3737.5204085595637 1.9884098706980512e+33
8.790834985520384e+17 5.233632394813451e+17 9.808722466025053e+17 -25819.879466559927 9484.501311454054 -26331.686218220602 1.9884098706980512e+33
-1.6192694087287816e+18 -3.845684746469372e+18 -1.469721523828782e+17 -2458.3442161702205 5076.909302174007 14764.40213569565 1.9884098706980512e+33
-7.18380800318085e+18 -6.374400569390076e+17 -3.710398166303207e+18 14886.781785693365 -3565.93711870483 9754.077175295353 1.9884098706980512e+33
-6.236992130682348e+18 1.437561346635329e+18 3.013964141221729e+17 1050.1677391185563 -4741.748819562534 10997.981608435082 1.9884098706980512e+33
-5.993067130213828e+18 5.348568678717581e+18 1.7594442195337544e+18 -11026.457083082065 -11897.425052471826 -1912.5520906276438 1.9884098706980512e+33
-1.3305122251949197e+17 -2.995806616648952e+18 -4.195273572071779e+17 -1873.2781330518792 22458.929242601826 12225.47250757708 1.9884098706980512e+33
-5.78049528101945e+18 4.087670391205698e+18 6.118022594202391e+18 873.2015486555599 -1890.5549013641746 11738.93234890648 1.9884098706980512e+33
-3.130517363112594e+18 3.793387539803594e+18 5.915052160053257e+18 -11090.31962381706 6406.697777075306 -15637.744792743822 1.9884098706980512e+33
4.61856753953953e+18 5.340981440962637e+18 2.054021436959493e+18 14289.152065639479 -24183.664408817996 5947.286380325975 1.9884098706980512e+33
1.1307013318299165e+18 -7.495895037558949e+17 -6.409636136573167e+18 16922.988779360123 9684.93759962459 -24410.93955690416 1.9884098706980512e+33
-5.331296187942427e+18 -4.747063288808177e+18 4.424387678784463e+18 -22817.03185127812 -1169.2108950890438 -14558.039162189674 1.9884098706980512e+33
3.5581291257081216e+18 -6.323794121662452e+18 5.985256374498542e+18 20425.339984634757 -10694.018321850252 -16770.67730496493 1.9884098706980512e+33
4.20243616262168e+18 -3.303633525363941e+18 -1.5647592981672146e+18 10781.880045508562 -8634.325976854161 3949.206469724077 1.9884098706980512e+33
-5.697824842336071e+18 -2.097869586115693e+18 4.628689619805451e+18 3672.4802974719314 -17664.56587039778 -494.9025168174536 1.9884098706980512e+33
6.840445564807625e+18 4.86375587432045e+18 -2.610179405734073e+18 8953.222225367017 20802.98502136996 -28763.8148796634 1.9884098706980512e+33
5.015398995598015e+18 3.370146257720363e+18 -5.490733936535175e+18 -18809.412055477733 4267.775980084859 -18496.270400465957 1.9884098706980512e+33
2.3227675771212667e+18 4.188879964226369e+18 5.829545777901715e+18 -16245.830503929423 -17036.537904893346 -23507.12963958912 1.9884098706980512e+33
-5.692415491635888e+17 -1.7229022455583063e+18 -4.75774687351178e+18 -21854.100307387038 8426.582210398752 -7724.377340941901 1.9884098706980512e+33
-1.820771347210603e+17 7.462549122390692e+18 3.64919337333894e+18 2105.9921394283474 15797.680770940426 -11329.59652494186 1.9884098706980512e+33
1.361906719324275e+18 4.4372441568191427e+18 -1.4689004884832902e+17 13028.026974211629 -19146.096172935882 -3372.5865151441226 1.9884098706980512e+33
-1.90277293834425e+18 6.545005501919772e+18 3.716873422767703e+18 -4782.621734238045 -18108.86706582042 -6454.801552174292 1.9884098706980512e+33
2.789159529876504e+18 4.732578544233843e+17 -4.2351880968451123e+18 14277.419856208457 6271.13878882724 -18913.598064041267 1.9884098706980512e+33
4.407660151378432e+17 5.383309888072095e+18 -1.521767802536836e+18 7861.948629902702 4217.382967617754 -5904.20626474727 1.9884098706980512e+33
-1.6482409801261716e+18 -3.5690814737384914e+18 2.539461349655968e+18 18604.55524404865 -928.9473868642389 8063.316268695436 1.9884098706980512e+33
4.997101130275146e+18 -2.863148880245842e+18 -8.192412570916788e+17 -26368.47403114401 -1993.2009097631478 2902.9259507858046 1.9884098706980512e+33
-8.653640013649727e+17 -3.6667042641372385e+18 -5.759810185834008e+18 -26033.420466596337 27438.94600164949 -10771.07912026161 1.9884098706980512e+33
-2.8028071414263004e+18 -6.59304886860958e+17 -4.0660966678426276e+18 -22972.608732628494 -5731.957631534826 -30323.5332966842 1.9884098706980512e+33
2.323495855857776e+18 -5.054620092246566e+18 5.07523384851453e+18 -16796.06451068482 7275.735233538366 -4731.5643122734555 1.9884098706980512e+33
4.797540128633445e+18 -6.783427417203046e+17 -4.492692527652242e+18 9371.032883499445 -21338.631134295985 846.2044859000841 1.9884098706980512e+33
8.635878260813092e+17 62604040305540.99 -1.4675435056150915e+18 20220.54835723792 868.4884778984144 5668.074869023251 1.9884098706980512e+33
-6.173131434575977e+18 4.4726562318888054e+18 -1.3900018811407255e+18 -14429.952566698295 9817.776368754834 -1609.027819700907 1.9884098706980512e+33
-3.934419731396643e+18 -5.481498649380173e+18 -3.2815405627075e+18 -24948.606152320113 -1031.0815558719214 -847.9208453145891 1.9884098706980512e+33
5.156230590747662e+18 1.5267579596639488e+18 -3.768715971819922e+17 15821.430783363707 -24200.396405854943 1666.7866900885822 1.9884098706980512e+33
-6.003393423637984e+18 -3.964172451854148e+18 1.4554865834876064e+17 23500.230632547726 -3257.375294767494 25960.282748109457 1.9884098706980512e+33
-6.940458203829528e+17 -1.420805575864761e+18 4.141677505474396e+17 14758.571389140385 -2493.60508046483 2085.954703777984 1.9884098706980512e+33
8.735197797954511e+17 2.7774502166274345e+18 5.008321377772555e+18 1375.3151356173792 -12188.796716693301 156.63334211832756 1.9884098706980512e+33
2.6228130849690015e+18 1.6990207671115174e+18 -3.2664339511901614e+18 -14849.854520908 -5315.780054990294 -15636.512337753948 1.9884098706980512e+33
1.4649843927761326e+18 -2.4894149693899494e+18 -3.9452026680168187e+18 16034.512302368126 352.96377363086515 -17908.999243748196 1.9884098706980512e+33
-7.271969867026781e+17 -1.0799494046505235e+18 2.4257019533152676e+18 6785.390247615704 17003.1316552935 2595.9264538322477 1.9884098706980512e+33
3.1001172841605903e+18 4.0668597137765883e+18 -1.1161711973822085e+18 -22261.849269571445 -19774.944417779534 142.99671025552476 1.9884098706980512e+33
3.2330247136679485e+18 1.7384807481054735e+18 7.194259748322275e+18 7530.083042545132 -12304.945560326727 961.1029809841598 1.9884098706980512e+33
3.8397116565945866e+18 -1.2715274241959214e+18 -3.442503177871191e+18 11757.371718648577 22793.642500793132 -12341.065188054223 1.9884098706980512e+33
7.64373089834558e+18 1.691650729373736e+18 4.9358203280825734e+17 25471.851990432075 -8754.63430900253 -25651.185187691284 1.9884098706980512e+33
1.2316067207636147e+18 -4.78302486068317e+18 -4.927549925391136e+18 -16860.72688487253 10190.438322840891 10488.015591569125 1.9884098706980512e+33
