1000 1000 1635367781873.7354 3.050124280183729e+18 10 6.67e-08
0.0 0.0 0.0 0.0 0.0 0.0 3.976819741396102e+33
3.070626484289406e+17 4.211874766270186e+18 7.350683954517262e+18 -39596.00497930346 32724.254184533016 -43534.05246803899 3.976819741396102e+33
-2.2151838950574267e+18 4.892032133690112e+18 1.9125446004002575e+18 -28402.11287968643 -31369.61531109631 66923.26237855086 3.976819741396102e+33
-1.1584472353401518e+18 4.890131313808664e+17 -8.840427970554569e+17 -69301.68307576454 -16930.849697081034 35724.95111928858 3.976819741396102e+33
-5.828249545540041e+18 6.12246653567997e+18 4.164771361252639e+18 -24356.027882928127 -20816.54912454574 16932.42064388893 3.976819741396102e+33
-2.5423559762181504e+18 1.7346373475542403e+18 -4.438468881126932e+18 29920.164148806096 -67428.54570255823 42163.718987028755 3.976819741396102e+33
4.2741916561893304e+18 -3.842753806363095e+18 -1.4847916541966694e+18 14707.826795325924 -21793.999605849367 -51187.39409798455 3.976819741396102e+33
8.003742631680982e+17 2.5743915204531564e+18 -6.173605284143265e+18 -71772.8749035108 -56891.35403942468 28219.671851203148 3.976819741396102e+33
-3.2852035763807826e+18 -1.453351660265294e+18 5.082097515705055e+18 -64158.870263861005 68978.16263685588 -42715.20255815676 3.976819741396102e+33
5.945212517276364e+18 3.6808040135200307e+18 6.922246139148773e+17 320.3024660232483 -68079.80804091193 66808.28582905985 3.976819741396102e+33
2.7972925681094584e+18 -3.8063528812720517e+18 -5.356303963177488e+18 -4295.4747934944835 -12134.433958840113 -47919.844338402174 3.976819741396102e+33
-6.876732097613423e+18 4.369457994230521e+18 -3.5160077190489057e+18 9003.087294395222 54639.85129255427 42253.685144835195 3.976819741396102e+33
2.575604066050502e+18 4.775689527746202e+18 2.2755209851346806e+18 -68988.75338734103 67851.30121269116 30561.643593819143 3.976819741396102e+33
2.2489594321395034e+18 -1.6293827362104656e+17 1.0923204912523444e+18 66908.14666144505 -61577.581683123724 25944.09761555225 3.976819741396102e+33
3.045468255802617e+18 -5.183859954314444e+18 -2.444906520817074e+18 9823.135153235042 50241.09621671032 -61149.32533307304 3.976819741396102e+33
-4.0332487149004454e+17 -3.124313352482029e+18 -1.826075108534553e+17 5347.106431971016 9013.694577416405 65081.55295228032 3.976819741396102e+33
1.1147232896800216e+17 2.7272126391962353e+18 -4.777690049474235e+18 -12214.239792827559 34206.85468140644 32456.328476506398 3.976819741396102e+33
-8.893231975363616e+17 -2.528407522612584e+18 4.966074902014555e+18 17589.126373245526 -5283.449230726411 -50674.26690340377 3.976819741396102e+33
-2.5861333252815754e+18 5.6278835733725914e+17 -1.1915270756328842e+18 41390.62027519637 39367.93895782504 -84423.28265698071 3.976819741396102e+33
